x1,y1,x2,y2
411.0,0.369,474.7722729,0.07472871
410.0,0.363,474.5186914,0.075700987
409.0,0.358,474.26511,0.076688987
408.0,0.352,474.0115286,0.077692873
407.0,0.346,473.7579471,0.078712798
406.0,0.34,473.5043657,0.079748906
405.0,0.334,473.2507843,0.080801332
404.0,0.328,472.9972029,0.081870199
403.0,0.321,472.7436214,0.082955619
402.0,0.315,472.49004,0.08405769
401.0,0.309,472.2364586,0.085176497
400.0,0.303,471.9828771,0.086312108
399.0,0.297,471.7292957,0.087464575
398.0,0.291,471.4757143,0.088633931
397.0,0.285,471.2221329,0.08982019
396.0,0.279,470.9685514,0.091023344
395.0,0.273,470.71497,0.092243364
394.0,0.268,470.4613886,0.093480194
393.0,0.262,470.2078071,0.094733753
392.0,0.256,469.9542257,0.096003933
391.0,0.251,469.7006443,0.097290594
390.0,0.246,469.4470629,0.098593566
389.0,0.241,469.1934814,0.099912645
388.0,0.236,468.9399,0.10124759
387.0,0.231,468.6863186,0.102598124
386.0,0.226,468.4327371,0.103963928
385.0,0.222,468.1791557,0.105344642
384.0,0.218,467.9255743,0.106739862
383.0,0.214,467.6719929,0.108149136
382.0,0.21,467.4184114,0.109571966
381.0,0.207,467.16483,0.111007799
380.0,0.204,466.9112486,0.112456033
379.0,0.201,466.6576671,0.113916006
378.0,0.199,466.4040857,0.115387003
377.0,0.197,466.1505043,0.116868247
376.0,0.195,465.8969229,0.118358898
375.0,0.193,465.6433414,0.119858056
374.0,0.192,465.38976,0.121364753
373.0,0.191,465.1361786,0.122877955
372.0,0.191,464.8825971,0.124396558
371.0,0.191,464.6290157,0.125919392
370.0,0.192,464.3754343,0.127445213
369.0,0.192,464.1218529,0.128972706
368.0,0.193,463.8682714,0.130500486
367.0,0.195,463.61469,0.132027093
366.0,0.196,463.3611086,0.133550997
365.0,0.198,463.1075271,0.135070596
364.0,0.201,462.8539457,0.136584218
363.0,0.204,462.6003643,0.138090121
362.0,0.207,462.3467829,0.139586496
361.0,0.21,462.0932014,0.141071469
360.0,0.214,461.83962,0.142543104
359.0,0.218,461.5860386,0.143999406
358.0,0.222,461.3324571,0.145438327
357.0,0.226,461.0788757,0.146857765
356.0,0.23,460.8252943,0.148255577
355.0,0.235,460.5717129,0.149629577
354.0,0.24,460.3181314,0.150977547
353.0,0.244,460.06455,0.152297243
352.0,0.249,459.8109686,0.153586402
351.0,0.254,459.5573871,0.154842747
350.0,0.259,459.3038057,0.156064002
349.0,0.264,459.0502243,0.157247894
348.0,0.269,458.7966429,0.158392166
347.0,0.274,458.5430614,0.159494587
346.0,0.279,458.28948,0.160552959
345.0,0.284,458.0358986,0.161565131
344.0,0.289,457.7823171,0.162529005
343.0,0.294,457.5287357,0.163442552
342.0,0.298,457.2751543,0.164303815
